Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium22178	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium28585	oxidoreductase activity
Symbiodinium46844	ATP binding
Symbiodinium14344	palmitoyl-(protein) hydrolase activity
Symbiodinium44619	Eukaryotic protein of unknown function (DUF872)
Symbiodinium19073	inner dynein arm assembly
Symbiodinium15154	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
Symbiodinium23626	polypeptide N-acetylgalactosaminyltransferase activity
Symbiodinium38251	Belongs to the mitochondrial carrier (TC 2.A.29) family
Symbiodinium26053	Major Facilitator Superfamily
Symbiodinium56407	FAD binding domain of DNA photolyase
Symbiodinium35362	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 family protein
Symbiodinium35036	sodium hydrogen
Symbiodinium5723	HPP family
Symbiodinium42644	Phosphodiesterase 6D, cGMP-specific, rod, delta
Symbiodinium39886	calcium:sodium antiporter activity
Symbiodinium56273	Source PGD
Symbiodinium9239	Acyl-CoA dehydrogenase, C-terminal domain
Symbiodinium45622	Protein kinase domain
Symbiodinium52104	Belongs to the folylpolyglutamate synthase family
Symbiodinium12478	cellular response to DNA damage stimulus
Symbiodinium27700	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Symbiodinium25144	Belongs to the RuBisCO large chain family
Symbiodinium27741	RNA recognition motif 2
Symbiodinium15660	Domain of unknown function DUF21
Symbiodinium36298	EF-hand domain
Symbiodinium32050	four-way junction helicase activity
Symbiodinium30395	Zinc finger, C3HC4 type (RING finger)
Symbiodinium15713	SET and MYND domain containing 3
Symbiodinium51308	Mitochondrial carrier protein
Symbiodinium13030	MFS_1 like family
Symbiodinium22904	helicase MAGATAMA 3
Symbiodinium13379	GMC oxidoreductase
Symbiodinium11979	Ribosomal protein P0 is the functional equivalent of E.coli protein L10
Symbiodinium11564	Antibiotic biosynthesis monooxygenase
Symbiodinium31061	DnaJ molecular chaperone homology domain
Symbiodinium43205	cation-chloride co-transporter
Symbiodinium23966	snRNP Sm proteins
Symbiodinium48540	Necessary for normal cell division and for the maintenance of normal septation
Symbiodinium51944	protein glycosylation in Golgi
Symbiodinium27422	Belongs to the universal ribosomal protein uS11 family
Symbiodinium58143	phosphatase
Symbiodinium13164	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Symbiodinium32484	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Symbiodinium26239	Minor histocompatibility antigen H13 isoform
Symbiodinium25281	manganese ion binding
Symbiodinium27485	protein disulfide oxidoreductase activity
Symbiodinium35316	fatty acid elongation, saturated fatty acid
Symbiodinium25796	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium17975	DUF4205
Symbiodinium37835	Protein phosphatase 2C
Symbiodinium30357	UBX domain-containing protein
Symbiodinium22475	Sigma factor PP2C-like phosphatases
Symbiodinium44307	fatty acid elongation, saturated fatty acid
Symbiodinium46194	Phospholipase/Carboxylesterase
Symbiodinium57081	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits
Symbiodinium8144	Parkin co-regulated protein
Symbiodinium46429	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
Symbiodinium30037	U1-like zinc finger
Symbiodinium41365	microtubule motor activity
Symbiodinium8386	5-formyltetrahydrofolate cyclo-ligase-like protein COG0212
Symbiodinium41347	Solute carrier family 28
Symbiodinium37897	Belongs to the protein kinase superfamily
Symbiodinium29032	Belongs to the eukaryotic-type primase small subunit family
Symbiodinium19267	ribosomal large subunit biogenesis
Symbiodinium20074	Glycine-rich RNA-binding protein
Symbiodinium28092	COGs COG1028 Dehydrogenase with different specificities (related to short-chain alcohol dehydrogenase)
Symbiodinium29039	[acyl-carrier-protein] S-malonyltransferase activity
Symbiodinium28633	Protein kinase domain
Symbiodinium12077	Calcium/calmodulin dependent protein kinase II association domain
Symbiodinium55833	PFAM methyltransferase
Symbiodinium44391	secondary active sulfate transmembrane transporter activity
Symbiodinium6893	Calcineurin-like phosphoesterase. Source PGD
Symbiodinium26424	cGMP-dependent protein kinase activity
Symbiodinium36005	protein serine/threonine kinase activity
Symbiodinium56346	thiosulfate transmembrane transporter activity
Symbiodinium26025	Eukaryotic translation elongation factor 1 alpha
Symbiodinium6078	Belongs to the type-B carboxylesterase lipase family
Symbiodinium32242	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)
Symbiodinium31729	Belongs to the iron ascorbate-dependent oxidoreductase family
Symbiodinium46206	Protein kinase domain
Symbiodinium48671	Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity
Symbiodinium9869	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors
Symbiodinium53965	Rft protein
Symbiodinium7484	Mitogen-activated protein kinase
Symbiodinium25430	AAA domain
Symbiodinium28744	Belongs to the heat shock protein 70 family
Symbiodinium52599	Pancreatic alpha-amylase-like
Symbiodinium51973	Forkhead associated domain
Symbiodinium20663	DEAH box helicase
Symbiodinium10925	negative regulation of ER-associated ubiquitin-dependent protein catabolic process
Symbiodinium7720	Protein kinase domain
Symbiodinium28702	ATPases associated with a variety of cellular activities
Symbiodinium34385	6phosphofructo2kinase
Symbiodinium39233	hydrolase, TatD family
Symbiodinium30314	cytochrome p450
Symbiodinium26707	O-methyltransferase activity
Symbiodinium53033	hypoxanthine salvage
Symbiodinium45052	Low-density lipoprotein receptor domain class A
Symbiodinium39546	Heat shock chaperonin-binding motif.
Symbiodinium28483	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium23068	PP-loop family
Symbiodinium48539	phosphate ion transmembrane transport
Symbiodinium16490	DnaJ molecular chaperone homology domain
Symbiodinium51374	Alpha-kinase family
Symbiodinium54620	ATP binding
Symbiodinium25279	Regulator of chromosome condensation (RCC1) repeat
Symbiodinium50222	retrograde transport, endosome to Golgi
Symbiodinium43969	Heme peroxidase-related protein
Symbiodinium30531	Serine threonine-protein phosphatase
Symbiodinium5985	glutathione transferase activity
Symbiodinium16203	patched ligand maturation
Symbiodinium51902	EF-hand domain
Symbiodinium6539	TIGRFAM flavoprotein, HI0933 family
Symbiodinium55214	Responsible for synthesis of pseudouridine from uracil
Symbiodinium30313	potassium:proton antiporter activity
Symbiodinium12382	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
Symbiodinium7208	Evidence 2b Function of strongly homologous gene
Symbiodinium21162	Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A
Symbiodinium7457	transferase activity, transferring hexosyl groups
Symbiodinium14287	Arginase family
Symbiodinium59723	HNH endonuclease
Symbiodinium7807	calmodulin
Symbiodinium18205	SelR domain
Symbiodinium30792	Flavinator of succinate dehydrogenase
Symbiodinium13430	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
Symbiodinium20772	Haloacid dehalogenase-like hydrolase domain-containing protein
Symbiodinium50054	protein polyglycylation
Symbiodinium49139	kinase domain containing protein
Symbiodinium21861	Aminotransferase class-III
Symbiodinium9027	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain
Symbiodinium18923	oxidoreductase activity
Symbiodinium31660	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Symbiodinium28288	structural constituent of ribosome
Symbiodinium20427	belongs to the protein kinase superfamily
Symbiodinium20852	dual specificity
Symbiodinium16032	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Symbiodinium29321	Domain in DAP-5, eIF4G, MA-3 and other proteins.
Symbiodinium12957	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin
Symbiodinium11950	adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate
Symbiodinium11099	serine threonine protein kinase
Symbiodinium44577	voltage-gated potassium channel activity
Symbiodinium10080	aarF domain-containing protein kinase
Symbiodinium26566	fructose-bisphosphate aldolase activity
Symbiodinium46124	PPPDE putative peptidase domain
Symbiodinium26963	RNA-binding protein mei2 homologue
Symbiodinium12426	2-oxoglutarate dehydrogenase
Symbiodinium29544	negative regulation of mRNA splicing, via spliceosome
Symbiodinium12407	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium29735	regulation of cilium movement
Symbiodinium43228	Ammonium Transporter
Symbiodinium27215	sulfuric ester hydrolase activity
Symbiodinium11588	Ribosomal protein L44
Symbiodinium31809	reductase
Symbiodinium44257	Large family of predicted nucleotide-binding domains
Symbiodinium19786	Haloacid dehalogenase-like hydrolase
Symbiodinium25407	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6
Symbiodinium14062	protein kinase family protein WD-40 repeat
Symbiodinium35206	EF-hand domain
Symbiodinium39754	phosphatidylinositol binding
Symbiodinium30250	Ergosterol biosynthesis ERG4/ERG24 family
Symbiodinium37176	RNA helicase
Symbiodinium785	hydrolases or acyltransferases (alpha beta hydrolase superfamily)
Symbiodinium52863	Random slug cDNA-11
Symbiodinium32797	Ras-like GTP-binding protein. Source PGD
Symbiodinium18383	Binds the poly(A) tail of mRNA
Symbiodinium42389	PFAM Helicase conserved C-terminal domain
Symbiodinium24940	UMP salvage
Symbiodinium12915	NEDD4-binding protein 2-like 2-like
Symbiodinium14985	Lipase maturation factor 1
Symbiodinium40408	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Symbiodinium5297	Anaphase-promoting complex subunit
Symbiodinium12904	Calcineurin-like phosphoesterase
Symbiodinium56513	propanoyl-CoA C-acyltransferase activity
Symbiodinium5897	pseudouridine synthase
Symbiodinium32440	P-loop containing region of AAA domain
Symbiodinium45308	Major facilitator superfamily
Symbiodinium7694	Serine/threonine phosphatases, family 2C, catalytic domain
Symbiodinium35518	Belongs to the DEAD box helicase family
Symbiodinium9251	Forkhead associated domain
Symbiodinium51136	MOSC domain
Symbiodinium35477	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity
Symbiodinium50780	transporter
Symbiodinium47474	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium47778	Integral membrane protein S linking to the trans Golgi network
Symbiodinium6404	Uncharacterized protein family UPF0004
Symbiodinium27938	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium5547	tRNA methyltransferase activity
Symbiodinium20734	pseudouridine synthase activity
Symbiodinium35753	3',5'-cyclic-nucleotide phosphodiesterase activity. It is involved in the biological process described with signal transduction
Symbiodinium37213	oxidoreductase activity, oxidizing metal ions, oxygen as acceptor
Symbiodinium39178	WD domain, G-beta repeat
Symbiodinium39596	protein deneddylation
Symbiodinium39168	PFAM blue (type 1) copper domain protein
Symbiodinium27015	This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand
Symbiodinium9008	Belongs to the protein kinase superfamily
Symbiodinium34392	iron ion binding
Symbiodinium40516	Diguanylate cyclase
Symbiodinium44646	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium31315	Charged multivesicular body protein 5. Source PGD
Symbiodinium41289	cAMP-dependent protein kinase
Symbiodinium28203	nucleic acid binding
Symbiodinium45491	COG0526 Thiol-disulfide isomerase and thioredoxins
Symbiodinium36367	Hinge domain of cleavage stimulation factor subunit 2
Symbiodinium36281	Domain of unknown function (DUF4470)
Symbiodinium25972	HpcH/HpaI aldolase/citrate lyase family
Symbiodinium12457	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium20326	Glycosyl transferase family 8
Symbiodinium4863	Sucrose-6F-phosphate phosphohydrolase
Symbiodinium46850	Belongs to the short-chain dehydrogenases reductases (SDR) family
Symbiodinium47979	Calcineurin-like phosphoesterase superfamily domain
Symbiodinium34964	initiation factor 4E
Symbiodinium11150	protein maturation by iron-sulfur cluster transfer
Symbiodinium30112	dimethylallyltranstransferase activity
Symbiodinium27343	spliceosomal snRNP assembly
Symbiodinium27234	Rhodanese-like protein
Symbiodinium28532	Malic enzyme
Symbiodinium12377	acyl-CoA dehydrogenase
Symbiodinium31408	XRN 5'-3' exonuclease N-terminus
Symbiodinium46687	histone pre-mRNA stem-loop binding
Symbiodinium26909	phosphatidylinositol catabolic process
Symbiodinium36901	Pyridine nucleotide-disulphide oxidoreductase
Symbiodinium41913	Cellulase (glycosyl hydrolase family 5)
Symbiodinium28011	fructose 1,6-bisphosphate 1-phosphatase activity
Symbiodinium42474	Integral membrane protein TerC family
Symbiodinium32059	allele of
Symbiodinium20927	Serine aminopeptidase, S33
Symbiodinium8684	Tetratricopeptide repeat
Symbiodinium39471	regulation of RNA splicing
Symbiodinium13412	mismatched DNA binding
Symbiodinium8949	cysteine and glycine-rich protein
Symbiodinium43985	phosphatase 2C
Symbiodinium54122	3-oxo-5-alpha-steroid 4-dehydrogenase
Symbiodinium33202	Anthranilate synthase component I, N terminal region
Symbiodinium36965	xylan 1,4-beta-xylosidase activity
Symbiodinium37047	microtubule depolymerization
Symbiodinium36443	PKS_DH
Symbiodinium12889	Vacuolar atp synthase subunit
Symbiodinium31147	Regulator of nonsense transcripts 1 homolog
Symbiodinium55654	RNA recognition motif
Symbiodinium13479	cellular response to bisphenol A
Symbiodinium25159	Produces ATP from ADP in the presence of a proton gradient across the membrane
Symbiodinium44081	Enoyl-CoA hydratase
Symbiodinium41151	ANTH domain
Symbiodinium42608	cell redox homeostasis
Symbiodinium14160	translation activator activity
Symbiodinium33299	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium6697	C-terminal, D2-small domain, of ClpB protein
Symbiodinium32678	DnaJ C terminal domain
Symbiodinium8220	Pyroglutamyl peptidase
Symbiodinium19320	peptide-aspartate beta-dioxygenase activity
Symbiodinium21574	zinc-ribbon
Symbiodinium8466	Rab subfamily of small GTPases
Symbiodinium53558	proton-transporting ATP synthase activity, rotational mechanism
Symbiodinium8469	o-succinylbenzoate-CoA ligase activity
Symbiodinium37988	non-haem dioxygenase in morphine synthesis N-terminal
Symbiodinium10677	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
Symbiodinium40232	calcium:proton antiporter activity
Symbiodinium72387	Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B)
Symbiodinium7623	SNF2 family N-terminal domain
Symbiodinium9863	Phosphotransferase enzyme family
Symbiodinium13581	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Symbiodinium7333	patched ligand maturation
Symbiodinium29237	Adenosine/AMP deaminase
Symbiodinium16931	Cobalamin synthesis protein cobW C-terminal domain
Symbiodinium56548	Protease II
Symbiodinium9786	Transporter associated domain
Symbiodinium43708	Taurine catabolism dioxygenase TauD, TfdA family
Symbiodinium38933	Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family
Symbiodinium41818	NADH flavin oxidoreductase NADH oxidase
Symbiodinium32041	Belongs to the protein kinase superfamily
Symbiodinium35343	Aldehyde dehydrogenase 6 family member A1
Symbiodinium21965	GTP-binding protein
Symbiodinium34629	protein serine/threonine kinase activity
Symbiodinium16675	ATP-dependent microtubule motor activity, minus-end-directed
Symbiodinium24686	Sperm motility kinase
Symbiodinium21789	acid phosphatase activity
Symbiodinium28720	Toprim domain
Symbiodinium54116	Calcium binding protein
Symbiodinium47676	50S ribosome-binding GTPase
Symbiodinium37911	dnaJ homolog subfamily C member
Symbiodinium50579	Rab guanyl-nucleotide exchange factor activity
Symbiodinium3829	Metallophosphoesterase domain containing 1
Symbiodinium43948	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium17898	Belongs to the DEAD box helicase family
Symbiodinium35729	oxidosqualene cyclase activity
Symbiodinium8451	hydroxyacylglutathione hydrolase activity
Symbiodinium18044	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium12263	phosphorylase kinase activity
Symbiodinium36435	GWT1
Symbiodinium43062	microtubule motor activity
Symbiodinium10970	Serine threonine-protein kinase
Symbiodinium33225	Dynein light chain
Symbiodinium29922	EF-hand domain
Symbiodinium50270	ubiquitinyl hydrolase activity
Symbiodinium55682	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
Symbiodinium23127	calcium-transporting ATPase activity
Symbiodinium30384	phosphoesterases, related to the Icc protein
Symbiodinium27799	PFAM Iron-containing alcohol dehydrogenase
Symbiodinium33492	beta-N-acetylhexosaminidase activity
Symbiodinium53513	cell division cycle protein
Symbiodinium8136	Asparaginyl-tRNA synthetase
Symbiodinium41264	Belongs to the helicase family. RecQ subfamily
Symbiodinium31414	phosphopantetheine binding
Symbiodinium45336	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
Symbiodinium36456	E3 ubiquitin-protein ligase
Symbiodinium34676	Cold-shock protein
Symbiodinium52492	PFAM fumarylacetoacetate (FAA) hydrolase
Symbiodinium35018	Vacuolar protein sorting-associated protein 26
Symbiodinium9203	Calcium-dependent protein kinase
Symbiodinium37348	calcium ion binding
Symbiodinium12899	Thrombospondin type 1 repeats
Symbiodinium45702	GTPase activator activity
Symbiodinium6122	protein serine/threonine kinase activity
Symbiodinium53302	Belongs to the protein kinase superfamily
Symbiodinium35661	RNA-binding protein
Symbiodinium27275	Permease family
Symbiodinium21005	Fucokinase
Symbiodinium36776	Aldo keto
Symbiodinium70239	Beta-ketoacyl synthase domain-containing protein
Symbiodinium40118	Domains in hypothetical proteins in Drosophila, C. elegans and mammals. Occurs singly in some nucleoside diphosphate kinases.
Symbiodinium32917	Belongs to the short-chain dehydrogenases reductases (SDR) family
Symbiodinium32692	DnaJ-domain-containing protein
Symbiodinium50818	regulation of cardiac conduction
Symbiodinium31966	protein transport
Symbiodinium29709	Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides
Symbiodinium49006	Glycosyl hydrolases family 15
Symbiodinium38126	Serine/Threonine protein kinases, catalytic domain
Symbiodinium18	Carbamoyltransferase C-terminus
Symbiodinium53684	ubiquitin-protein transferase activity
Symbiodinium37019	spectrin binding
Symbiodinium29583	IMP dehydrogenase activity
Symbiodinium55623	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding
Symbiodinium27543	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation
Symbiodinium29440	dimethylallyltranstransferase activity
Symbiodinium24286	cytidylyltransferase
Symbiodinium28569	phosphoglycerate kinase activity
Symbiodinium12191	Belongs to the 3-hydroxyisobutyrate dehydrogenase family
Symbiodinium17810	Calcium-dependent protein kinase
Symbiodinium33154	AMP-binding enzyme C-terminal domain
Symbiodinium52845	Acid phosphatase homologues
Symbiodinium46328	Belongs to the peptidase A1 family
Symbiodinium34214	GTP binding
Symbiodinium16441	A Receptor for Ubiquitination Targets
Symbiodinium40473	Mitogen-activated protein kinase
Symbiodinium31143	Allomyces macrogynus ATCC 38327 methylmalonate-semialdehyde dehydrogenase (acylating)
Symbiodinium31189	pre-RNA processing PIH1/Nop17
Symbiodinium28316	RING-like zinc finger
Symbiodinium30239	Rad17 cell cycle checkpoint protein
Symbiodinium26977	metallo-protease
Symbiodinium34758	epidermal cell fate specification
Symbiodinium27887	Belongs to the BI1 family
Symbiodinium32577	Putative tRNA binding domain
Symbiodinium44582	zinc ion binding
Symbiodinium26838	protein kinase activity
Symbiodinium9899	pfkB family carbohydrate kinase
Symbiodinium29929	Ubiquitin specific protease 39 isoform 2
Symbiodinium42165	ABC1 family
Symbiodinium34518	BTB/POZ domain
Symbiodinium53440	LicD family
Symbiodinium55867	protein folding
Symbiodinium49269	Mitochondrial sodium hydrogen exchanger
Symbiodinium37165	water channel activity
Symbiodinium55153	Belongs to the protein kinase superfamily
Symbiodinium5482	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
Symbiodinium12845	3'5'-cyclic nucleotide phosphodiesterase
Symbiodinium32476	Small nuclear
Symbiodinium29614	to Saccharomyces cerevisiae MCA1 (YOR197W)
Symbiodinium40658	microtubule motor activity
Symbiodinium36106	Rhomboid-related protein 2
Symbiodinium51768	Peptidyl-prolyl cis-trans isomerase
Symbiodinium27289	Major Facilitator Superfamily
Symbiodinium44023	RNA-binding protein
Symbiodinium57867	potassium channel protein
Symbiodinium47502	Patatin-like phospholipase. Source PGD
Symbiodinium53003	vesicle fusion with Golgi apparatus
Symbiodinium46898	Belongs to the DEAD box helicase family
Symbiodinium37857	Serine threonine protein kinase
Symbiodinium36331	RNA-binding protein mei2 homologue
Symbiodinium51204	C2 domain of PTEN tumour-suppressor protein
Symbiodinium8087	C2H2 type zinc-finger (2 copies)
Symbiodinium47297	ADP-ribosylglycohydrolase
Symbiodinium54001	S1 RNA binding domain
Symbiodinium53148	pseudouridine 5'-phosphatase activity
Symbiodinium16101	Prolyl oligopeptidase family
Symbiodinium33736	1,4-alpha-glucan-branching enzyme
Symbiodinium15606	Ferredoxin--NADP reductase
Symbiodinium33217	26S proteasome non-atpase regulatory subunit
Symbiodinium20985	DNA photolyase activity
Symbiodinium10735	Belongs to the DHHC palmitoyltransferase family
Symbiodinium55424	TAR (HIV-1) RNA binding protein 1
Symbiodinium24317	NEDD8 activating enzyme activity
Symbiodinium33817	MAP kinase kinase activity
Symbiodinium8995	serine racemase
Symbiodinium41016	It is involved in the biological process described with phenylalanyl-tRNA aminoacylation
Symbiodinium5870	glutathione gamma-glutamylcysteinyltransferase activity
Symbiodinium13758	sulfuric ester hydrolase activity
Symbiodinium26001	Belongs to the mitochondrial carrier (TC 2.A.29) family
Symbiodinium47555	Trypsin
Symbiodinium33874	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner
Symbiodinium27610	microtubule binding
Symbiodinium39209	Alpha-1,2-mannosidase
Symbiodinium30707	ATPase, AAA family
Symbiodinium9439	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium37896	Elongation factor Tu C-terminal domain
Symbiodinium40011	Belongs to the DNA photolyase family
Symbiodinium47748	transferase activity, transferring hexosyl groups
Symbiodinium27385	ribosomal protein
Symbiodinium39053	2OG-Fe(II) oxygenase superfamily
Symbiodinium32435	Peptidylprolyl isomerase
Symbiodinium41445	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
Symbiodinium20832	Methylmalonic aciduria and homocystinuria type D protein
Symbiodinium33985	emp24/gp25L/p24 family/GOLD
Symbiodinium41710	Belongs to the DEAD box helicase family
Symbiodinium39282	-
Symbiodinium52789	Ketopantoate reductase PanE/ApbA C terminal
Symbiodinium29555	Replication factor RFC1 C terminal domain
Symbiodinium49253	Kringle domain
Symbiodinium8411	Chloride channel protein
Symbiodinium55408	Protein tyrosine kinase
Symbiodinium47152	ICE family protease (Caspase) p20 domain-containing protein
Symbiodinium32596	ribosomal large subunit binding
Symbiodinium38226	membrane protein-putative a permease
Symbiodinium22660	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
Symbiodinium25441	Peptidyl-tRNA hydrolase PTH2
Symbiodinium19520	ribosomal protein L5
Symbiodinium7272	RING-H2 zinc finger domain
Symbiodinium21185	Oxidoreductase NAD-binding domain
Symbiodinium5406	pseudouridine 5'-phosphatase activity
Symbiodinium11591	60S ribosomal protein L24
Symbiodinium27264	nitrite reductase (NAD(P)H) large subunit
Symbiodinium27315	ribosomal protein
Symbiodinium51774	Voltage-gated potassium channel activity. It is involved in the biological process described with
Symbiodinium28114	Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
Symbiodinium31056	Elongation factor G C-terminus
Symbiodinium39737	glycyl-tRNA aminoacylation
Symbiodinium35971	Belongs to the glycosyl hydrolase 1 family
Symbiodinium9476	ATP binding
Symbiodinium15313	Protein kinase domain containing protein
Symbiodinium13673	mitochondrial transport
Symbiodinium39863	Nucleotide hydrolase
Symbiodinium40289	Diacylglycerol kinase catalytic domain (presumed)
Symbiodinium74771	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Symbiodinium27290	Belongs to the PEP-utilizing enzyme family
Symbiodinium45493	peptide-aspartate beta-dioxygenase activity
Symbiodinium29122	amino acid transmembrane transporter activity
Symbiodinium17051	Signal peptidase, peptidase S26
Symbiodinium12186	SMP-30 Gluconolaconase LRE domain protein
Symbiodinium59266	Carbamoyltransferase C-terminus
Symbiodinium41065	Ubiquitinyl hydrolase 1
Symbiodinium13325	Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Symbiodinium50953	Phosphotransferase enzyme family
Symbiodinium52947	ABC1 family
Symbiodinium11164	spectrin binding
Symbiodinium20897	Peptidyl-trna hydrolase domain-containing protein
Symbiodinium29957	U1 small nuclear ribonucleoprotein
Symbiodinium43843	retinitis pigmentosa GTPase
Symbiodinium51317	Organic solute transporter Ostalpha
Symbiodinium57924	Isoprenylcysteine carboxyl methyltransferase (ICMT) family
Symbiodinium43176	Hydroxyacylglutathione hydrolase
Symbiodinium11014	ADP-ribosylation factor GTPase-activating protein
Symbiodinium46325	ATP-grasp domain
Symbiodinium27833	histone serine kinase activity
Symbiodinium20643	pkhd-type hydroxylase
Symbiodinium36321	D-lactate dehydrogenase, membrane binding
Symbiodinium34542	XPG N-terminal
Symbiodinium35505	nitric oxide catabolic process
Symbiodinium48438	NAD-dependent histone deacetylase activity (H3-K18 specific)
Symbiodinium59446	cellular component assembly
Symbiodinium42138	Mitotic-spindle organizing gamma-tubulin ring associated
Symbiodinium33766	Syntaxin
